game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
ARMED AND DANGEROUS®,86.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHANK,89.0,"Action,Indie",1,0,0,0,0,0,1,0,0,0,0,0,0,0
GHOST MASTER®,86.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FLATOUT,91.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MAKING HISTORY: THE CALM & THE STORM,81.0,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
DREAMFALL: THE LONGEST JOURNEY,87.0,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
THE LONGEST JOURNEY,92.0,"Action,Adventure,RPG",1,1,0,0,0,0,0,0,1,0,0,0,0,0
NEXUS - THE JUPITER INCIDENT,84.0,"Indie,Simulation,Strategy",0,0,0,0,0,0,1,0,0,0,1,0,1,0
LOST PLANET™: EXTREME CONDITION,76.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEVIL MAY CRY® 3 SPECIAL EDITION,58.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDOS: BEHIND ENEMY LINES,88.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDOS 3: DESTINATION BERLIN,61.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN 2: SILENT ASSASSIN,85.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN: BLOOD MONEY,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUST CAUSE,67.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN: CODENAME 47,72.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEUS EX: GAME OF THE YEAR EDITION,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEUS EX: INVISIBLE WAR,60.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THIEF: DEADLY SHADOWS,84.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: LEGEND,87.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT: SNOWBLIND,74.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JADE EMPIRE™: SPECIAL EDITION,74.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
